MTS25	Tensile Strength
0.4501	333.1386
0.4507	333.4204
0.4526	334.8174
0.4537	335.1022
0.454	335.1729
0.4552	336.0471
0.4567	337.1933
0.4581	337.4894
0.4588	338.1148
0.4602	339.1346
0.4617	339.99
0.4627	340.4536
0.4646	341.519
0.4648	341.5317
0.4657	342.2534
0.4672	343.0916
0.4688	343.9275
0.4696	344.3259
0.4706	345.0015
0.4724	345.9997
0.473	346.3965
0.4749	347.6266
0.4759	348.1325
0.4765	348.3166
0.4777	348.8491
0.4794	349.8713
0.4807	350.7595
0.4814	351.2903
0.4828	351.7815
0.4843	352.7437
0.4854	353.3576
0.4875	354.468
0.4878	354.4474
0.4886	355.0096
0.4901	355.783
0.492	356.7416
0.4927	357.1084
0.4939	357.7051
0.4957	358.9625
0.4964	359.393
0.4986	360.2235
0.4996	360.7026
0.5002	360.8073
0.5014	361.4207
0.5031	362.4916
0.5047	363.4211
0.5055	363.7811
0.5071	364.6728
0.5084	365.2478
0.5095	365.7382
0.5116	367.0121
0.5121	367.0514
0.5129	367.2963
0.5146	368.1302
0.5165	369.3582
0.5175	369.6247
0.5188	370.2539
0.5205	371.4319
0.5214	371.6087
0.5234	372.5034
0.5248	372.9851
0.5254	373.0837
0.5268	373.7101
0.5289	375.1408
0.5302	375.8369
0.5314	376.1091
0.5331	376.9134
0.5347	377.4367
0.5357	377.7873
0.5382	379.1723
0.5389	379.1514
0.5397	379.3541
0.5415	380.3707
0.5435	381.439
0.5445	381.6065
0.5461	382.3505
0.5479	383.3581
0.5491	383.648
0.5509	384.3189
0.5526	384.8216
0.5533	384.8603
0.5546	385.4956
0.5567	386.6207
0.5585	387.6659
0.5596	387.8341
0.5612	388.6297
0.5629	389.1093
0.5642	389.3744
0.5667	390.3114
0.5675	390.3517
0.5685	390.5827
0.5702	391.7502
0.5726	392.8442
0.5739	393.0219
0.5753	393.4182
0.5773	394.3643
0.5788	394.667
0.5806	395.5277
0.5826	396.1349
0.5835	396.1327
0.5849	396.4382
0.587	397.4704
0.5889	398.2277
0.5901	398.4055
0.592	399.0729
0.5941	399.8663
0.5955	400.2944
0.5979	401.1996
0.5991	401.238
0.6001	401.3311
0.6021	401.812
0.6046	402.97
0.606	403.3053
0.6078	403.7543
0.6102	404.7831
0.6117	404.9806
0.6135	405.3566
0.616	406.0497
0.617	406.0179
0.6186	406.5302
0.621	407.5578
0.6232	408.165
0.6246	408.3126
0.6266	408.8456
0.6291	409.5009
0.6308	409.769
0.6332	410.6015
0.6349	410.7071
0.6361	410.7432
0.6383	411.4637
0.6408	412.6786
0.6428	412.886
0.6446	413.1579
0.6471	413.6721
0.6493	413.836
0.6514	414.3909
0.6541	415.0414
0.6555	414.9722
0.6576	415.433
0.6599	416.3597
0.6625	416.9162
0.6642	416.9185
0.6666	417.3122
0.6693	418.0584
0.6713	418.2344
0.6738	419.0937
0.676	419.2326
0.6778	419.3598
0.6802	419.7815
0.683	420.6277
0.6853	420.8801
0.6874	421.0655
0.6901	421.4808
0.6926	421.6923
0.6951	421.9985
0.6984	422.8094
0.7001	422.6053
0.7024	422.7745
0.7051	423.6754
0.7082	424.3211
0.7102	424.3591
0.713	425.0389
0.7161	425.4859
0.7183	425.5046
0.7215	425.8636
0.7241	425.9206
0.7263	425.8809
0.7287	426.1373
0.7319	426.9672
0.7348	427.1924
0.7372	427.3315
0.7402	427.7423
0.7433	428.2651
0.746	428.5689
0.7499	429.205
0.7519	428.8109
0.7545	428.9929
0.7576	429.4945
0.7609	429.9656
0.7634	429.9105
0.7663	430.1418
0.77	431.0446
0.7727	431.0091
0.7766	431.6477
0.7795	431.5561
0.7817	431.4141
0.7847	431.7433
0.7883	432.1615
0.7915	432.4795
0.7942	432.4015
0.7973	432.7527
0.801	433.0704
0.8039	433.1336
0.8083	433.7155
0.8109	433.3177
0.8136	433.3737
0.8173	433.7303
0.8211	434.3301
0.824	434.1281
0.827	434.2626
0.831	435.008
0.8338	434.662
0.8379	435.7294
0.8415	435.5888
0.8438	435.1269
0.8473	435.5703
0.8509	436.1473
0.8544	436.4305
0.8575	436.3549
0.8609	436.6818
0.8649	437.2298
0.8682	437.2985
0.8729	437.7313
0.8756	437.3866
0.8785	437.3698
0.8822	437.691
0.8864	437.8143
0.8897	437.7682
0.8929	437.7881
0.8972	437.9529
0.9004	437.8523
0.9048	438.2496
0.9086	438.1906
0.9115	437.9229
0.9148	438.026
0.919	438.6957
0.9231	438.9351
0.9261	438.6812
0.9297	438.9574
0.934	439.2967
0.9374	439.2963
0.9425	440.2956
0.9455	439.3474
0.9486	439.2003
0.9524	439.6651
0.9568	440.4137
0.9602	440.2283
0.9638	440.2991
0.9679	440.8445
0.9715	440.4431
0.976	441.2401
0.9802	441.0899
0.9831	440.576
0.9865	440.7518
0.9911	441.3703
0.9952	441.5754
0.9985	441.2809
1.0027	441.6548
1.0068	441.769
1.0104	441.7365
1.0154	442.291
1.0187	441.7918
1.0218	441.5938
1.0258	441.8931
1.0305	442.4301
1.0341	442.0848
1.0378	442.2072
1.0424	442.6408
1.0457	442.3445
1.0505	442.9514
1.0549	442.9328
1.058	442.4126
1.0617	442.4704
1.0662	443.0363
1.0707	443.2654
1.0742	442.9798
1.0785	443.3063
1.0828	443.4358
1.0864	443.2365
1.0918	443.7484
1.0951	443.4369
1.0984	443.0566
1.1026	443.5633
1.1076	443.7418
1.1113	443.7215
1.1152	443.7321
1.1197	443.7546
1.1236	443.7338
1.128	443.8513
1.1325	443.9901
1.1359	443.7346
1.1395	443.7367
1.1441	444.0058
1.1487	444.2733
1.1525	443.953
1.1566	444.1708
1.1611	444.4169
1.1649	444.2477
1.1701	445.0473
1.1739	444.4053
1.1772	444.0033
1.1816	444.442
1.1863	445.0498
1.1903	444.6795
1.1944	444.6971
1.1993	445.1995
1.2032	444.9428
1.2076	445.2248
1.2124	445.3623
1.2159	444.7725
1.2194	444.7198
1.2241	445.3666
1.2288	445.5664
1.2326	445.2387
1.2369	445.4055
1.2415	445.6483
1.2455	445.4835
1.2507	445.921
1.2545	445.5338
1.2578	445.2458
1.2622	445.5544
1.2672	445.9857
1.2714	445.7807
1.2754	445.712
1.2802	445.9995
1.2844	445.9208
1.2888	446.0168
1.2935	446.1219
1.2972	445.8122
1.3011	445.7394
1.3058	446.0833
1.3106	446.244
1.3143	445.9845
1.3186	446.0843
1.3235	446.3878
1.3277	446.2073
1.3325	446.5673
1.3368	446.2443
1.3402	445.9824
1.3444	446.1224
1.3493	446.5734
1.3536	446.4127
1.3577	446.3276
1.3626	446.7214
1.3668	446.6216
1.3714	446.6754
1.3764	447.087
1.38	446.4037
1.3837	446.2995
1.3884	446.795
1.3934	447.2441
1.3972	446.6563
1.4017	446.9412
1.4068	447.3447
1.4108	447.0864
1.4157	447.4792
1.4198	447.123
1.4236	446.6728
1.4277	446.8753
1.4327	447.4684
1.4372	447.4197
1.4412	447.2357
1.446	447.5829
1.4503	447.5241
1.4547	447.5269
1.4599	448.0875
1.4633	447.3066
1.4674	447.1801
1.4721	447.6649
1.477	448.0286
1.4809	447.6833
1.4852	447.7538
1.4903	448.1376
1.4944	447.9553
1.4994	448.3559
1.5039	448.0287
1.5076	447.6064
1.5115	447.6899
1.5164	448.1953
1.521	448.1751
1.5254	448.0764
1.5296	448.2531
1.5344	448.3075
1.5387	448.2928
1.544	448.8816
1.5478	448.0583
1.5516	448.0033
1.5562	448.3307
1.5614	448.6886
1.5655	448.3606
1.5695	448.3394
1.5745	448.873
1.5787	448.5796
1.5838	449.1473
1.5882	448.7277
1.592	448.2546
1.5962	448.3702
1.6012	448.8756
1.6058	448.9013
1.61	448.6063
1.6142	448.7126
1.6192	449.0517
1.6232	448.8559
1.6289	449.4953
1.6324	448.7124
1.6363	448.607
1.641	448.9404
1.6461	449.3752
1.6501	449.0161
1.6543	448.89
1.6595	449.47
1.6634	449.0712
1.6687	449.5419
1.6734	449.3783
1.677	448.8733
1.6811	449.0605
1.6864	449.421
1.691	449.455
1.6951	449.2816
1.6994	449.3374
1.7044	449.5073
1.7086	449.4454
1.7144	449.653
1.7181	449.3026
1.7221	449.1312
1.7265	449.4095
1.7318	449.6144
