MTS25	Tensile Strength
3.4747	356.0202
3.4798	356.3006
3.4845	356.101
3.4893	356.2388
3.4951	356.5302
3.4987	355.9109
3.5027	355.8861
3.5078	356.2139
3.5132	356.6246
3.5175	356.1679
3.5222	356.2633
3.5276	356.568
3.5319	356.2281
3.5373	356.7116
3.5418	356.2976
3.5453	356.0074
3.5501	356.1942
3.5551	356.6227
3.5602	356.5343
3.5644	356.2952
3.5694	356.6442
3.5743	356.554
3.5791	356.6752
3.5846	356.9047
3.5884	356.2446
3.5922	356.2017
3.5975	356.6857
3.6028	356.9264
3.6069	356.5522
3.6115	356.6125
3.6171	357.0201
3.6215	356.8363
3.6272	357.0697
3.6317	356.7101
3.6353	356.2977
3.6397	356.5424
3.6452	356.9988
3.6499	356.877
3.6542	356.7112
3.6593	356.9302
3.6643	357.014
3.6694	357.051
3.6748	357.0813
3.6784	356.6569
3.6824	356.6346
3.6874	356.8728
3.6928	357.0912
3.697	356.8764
3.7012	356.8257
3.7066	357.0992
3.7111	357.044
3.7164	357.1209
3.7212	357.0488
3.7251	356.7712
3.7293	356.9489
3.7347	357.0893
3.7395	357.0841
3.7435	357.0247
3.7486	357.0966
3.7537	357.107
3.7585	357.1105
3.764	357.2728
3.7678	356.9994
3.7717	356.9415
3.7766	357.0838
3.7819	357.2497
3.7862	357.0873
3.7905	357.0805
3.7961	357.5067
3.8001	357.0905
3.8056	357.4609
3.8106	357.2471
3.8142	357.0508
3.8187	357.0869
3.8239	357.3022
3.8287	357.3518
3.8329	357.1363
3.8378	357.3813
3.8429	357.439
3.8475	357.2878
3.8534	357.99
3.8572	357.1077
3.8609	357.0846
3.8659	357.2899
3.8711	357.6459
3.8754	357.2913
3.8797	357.2149
3.8853	357.9252
3.8896	357.4095
3.8953	358.0078
3.9002	357.6667
3.9038	357.1286
3.9081	357.2226
3.9134	357.7491
3.9181	357.7427
3.9222	357.4737
3.9269	357.6132
3.9324	357.8555
3.9367	357.7657
3.9428	358.3144
3.9466	357.4791
3.9504	357.2747
3.955	357.6407
3.9607	358.1507
3.9649	357.7017
3.9692	357.6724
3.9746	358.1985
3.979	357.82
3.9847	358.3577
3.9894	358.0979
3.9931	357.5391
3.9974	357.6217
4.0029	358.1515
4.0076	358.1774
4.0119	357.8511
4.0166	358.0239
4.0219	358.2632
4.0263	358.1185
4.0324	358.7201
4.036	357.8727
4.0398	357.6519
4.0443	357.9849
4.0498	358.4972
4.0543	358.1381
4.0587	358.1218
4.0639	358.5349
4.0684	358.1763
4.074	358.7532
4.0791	358.4947
4.0825	357.9164
4.0869	358.0025
4.092	358.441
4.0973	358.6313
4.1011	358.2314
4.1058	358.3022
4.1112	358.6985
4.1155	358.4599
4.1215	359.0546
4.1253	358.2776
4.1293	358.0997
4.1338	358.3186
4.1396	358.9562
4.1439	358.5223
4.1484	358.5122
4.1537	358.9067
4.158	358.5142
4.1632	359.0369
4.1685	358.9711
4.1721	358.2664
4.1763	358.2565
4.1817	358.9047
4.187	359.0603
4.1911	358.6226
4.1958	358.8125
4.2009	358.9379
4.2052	358.7995
4.2113	359.4278
4.2154	358.7494
4.2189	358.346
4.2238	358.766
4.2294	359.2445
4.2339	358.9269
4.2383	358.8884
4.2437	359.2107
4.248	358.8979
4.2529	359.1757
4.2584	359.325
4.262	358.6967
4.266	358.6373
4.2712	359.1341
4.2767	359.3853
4.2806	359.0124
4.2855	359.1468
4.2907	359.3298
4.2947	359.0175
4.3007	359.545
4.3051	359.093
4.3088	358.79
4.3136	359.0601
4.319	359.4639
4.3237	359.3064
4.328	359.2006
4.3332	359.4779
4.3374	359.2134
4.3426	359.4147
4.3483	359.5253
4.352	359.0184
4.356	359.0219
4.361	359.4053
4.3666	359.5554
4.3706	359.2906
4.3754	359.4309
4.3806	359.5287
4.385	359.372
4.3908	359.5729
4.395	359.3775
4.3987	359.0871
4.4033	359.313
4.4084	359.5358
