MTS25	Tensile stress
1.2024	458.5421
1.2064	458.1059
1.2108	458.1378
1.2162	458.778
1.2204	458.4672
1.226	459.0753
1.2306	458.6547
1.2344	458.1868
1.239	458.4577
1.2442	458.9662
1.2493	459.0089
1.2534	458.7414
1.2583	459.0772
1.2631	459.1114
1.2678	459.1031
1.2733	459.6549
1.2771	458.8895
1.2815	458.7774
1.2864	459.1423
1.2919	459.5697
1.2962	459.176
1.3006	459.1955
1.306	459.774
1.3103	459.2794
1.316	459.8673
1.3209	459.6346
1.3247	459.1105
1.3292	459.1857
1.3345	459.8091
1.3396	459.8007
1.344	459.6048
1.3488	459.7848
1.3538	459.8197
1.3587	459.8413
1.3646	460.1685
1.3687	459.6873
1.3728	459.433
1.3776	459.7848
1.3831	459.9971
1.3873	459.8242
1.3919	459.8209
1.3975	460.112
1.4019	459.8583
1.4076	460.3453
1.4126	460.0148
1.4166	459.7656
1.4208	459.7767
1.4263	460.0897
1.4313	460.102
1.4356	459.909
1.4404	460.0024
1.4456	460.1241
1.4504	460.156
1.4563	460.6995
1.4605	459.9271
1.4645	459.849
1.4694	460.0151
1.4752	460.5656
1.4794	460.0728
1.484	460.074
1.4895	460.583
1.4941	460.1514
1.4998	460.7779
1.5049	460.4913
1.5088	459.9267
1.5131	459.9371
1.5185	460.4975
1.5238	460.583
1.5283	460.2066
1.5332	460.4753
1.5384	460.4772
1.543	460.4258
1.5492	461.2084
1.5532	460.2812
1.557	459.9749
1.5621	460.3646
1.5677	460.8423
1.5723	460.5172
1.577	460.4991
1.5826	460.7729
1.5868	460.3552
1.5922	461.017
1.5977	460.8936
1.6015	460.1604
1.6059	460.2525
1.6115	460.8297
1.617	460.8714
1.6211	460.5415
1.6263	460.6696
1.6311	460.7714
1.6358	460.6102
1.642	461.3859
1.6462	460.6044
1.6502	460.2196
1.6553	460.5803
1.661	461.0889
1.6653	460.6862
1.67	460.6453
1.6757	461.1305
1.68	460.6204
1.6854	461.176
1.6908	461.1693
1.6948	460.4246
1.6991	460.4645
1.7045	460.9057
1.71	461.1802
1.7142	460.6938
1.7194	460.9433
1.7243	460.9601
1.7288	460.7098
1.7351	461.4254
1.7395	460.7827
1.7435	460.4589
1.7485	460.7026
1.7539	461.2642
1.7586	460.8471
1.763	460.7707
1.7685	461.2518
1.7729	460.8058
1.778	461.1035
1.7837	461.3105
1.7876	460.5899
1.792	460.5861
1.7973	461.0294
1.8027	461.3521
1.8069	460.8176
1.812	461.0494
1.8175	461.2773
1.8219	461.037
1.8278	461.4032
1.8322	461.051
1.8365	460.5964
1.8414	460.8876
1.847	461.3539
1.8517	461.1611
1.8562	460.945
1.862	461.3904
1.8667	461.1918
1.8721	461.3285
1.8774	461.3593
1.8815	460.6948
1.8859	460.6358
