MTS25	Tensile stress
1.3166	368.4165
1.3215	368.8354
1.3259	368.7047
1.3296	368.2031
1.3339	368.3034
1.3387	368.7551
1.3437	369.0895
1.3476	368.6632
1.3522	368.8975
1.357	369.2216
1.3612	369.0964
1.3668	369.8209
1.3707	369.0478
1.3745	368.7522
1.3792	369.1812
1.3841	369.7146
1.3884	369.4203
1.3926	369.3944
1.3975	369.9616
1.4018	369.5772
1.4069	370.2328
1.4119	370.1563
1.4153	369.438
1.4198	369.4987
1.4247	370.0518
1.4298	370.4605
1.4338	369.9699
1.4381	370.1679
1.4432	370.5442
1.4473	370.3703
1.4531	371.2115
1.4568	370.3097
1.4607	369.9533
1.4653	370.303
1.4704	370.982
1.4748	370.6765
1.4791	370.6309
1.4841	371.1917
1.4882	370.8799
1.4932	371.3136
1.4982	371.3198
1.5017	370.6367
1.5057	370.5843
1.5107	371.2576
1.5157	371.4297
1.5196	371.2318
1.5241	371.2836
1.5291	371.4794
1.5333	371.3773
1.5392	371.5864
1.5429	371.3924
1.5469	371.2359
1.5514	371.3651
1.5566	371.5673
1.5607	371.5119
1.5649	371.509
1.5698	371.5755
1.574	371.5368
1.5792	371.6353
1.5842	371.6679
1.5881	371.5152
1.592	371.4837
1.5971	371.5956
1.602	371.7569
1.606	371.5866
1.6104	371.6361
1.6153	371.7495
1.6193	371.6321
1.625	372.1617
1.6291	371.6962
1.6327	371.5683
1.6372	371.6661
1.6426	371.9987
1.6469	371.9212
1.6509	371.8386
1.6559	372.0416
1.6602	371.9088
1.665	372.199
1.6703	372.5891
1.6739	371.8632
1.6779	371.8465
1.6826	372.2546
1.6878	372.685
1.6917	372.1169
1.6963	372.3172
1.7012	372.7004
1.7052	372.3643
1.711	373.3963
1.7153	372.673
1.7189	372.1088
1.7233	372.4602
1.7284	373.0894
1.7327	372.9054
1.7369	372.7697
1.7418	373.2816
1.7461	373.0078
1.7509	373.3723
1.7564	373.8452
1.7601	372.8466
1.7641	372.7562
1.7688	373.4024
1.7738	373.9677
1.7779	373.3882
1.7823	373.5768
1.7874	373.9788
1.7913	373.4987
1.7968	374.319
1.801	373.9434
1.8047	373.2812
1.809	373.6402
1.8142	374.2554
1.8187	374.207
1.8228	374.0653
1.8276	374.2987
1.8321	374.2308
1.8366	374.258
1.842	374.9116
1.8456	374.1648
1.8494	374.0473
1.8542	374.3515
1.8593	374.9792
1.8633	374.3648
1.8678	374.5415
1.873	375.0296
1.8771	374.8199
1.8824	375.2005
1.8868	374.961
1.8906	374.3339
1.8947	374.6978
1.8997	375.1543
1.9045	375.1405
1.9087	374.9739
1.9136	375.3319
1.9182	375.2191
1.9229	375.3252
1.9281	375.6827
1.9318	375.038
1.9356	374.9466
1.9404	375.3668
1.9457	375.7687
1.9496	375.2965
1.954	375.3173
1.9592	375.8057
1.9634	375.6542
1.9685	375.8805
1.9732	375.7662
1.9765	375.3234
1.9811	375.5134
1.986	375.8384
1.9907	375.8429
1.9948	375.667
1.9994	375.843
2.0044	376.0269
2.0091	376.1506
2.0142	376.2916
2.0178	375.7829
2.0217	375.7003
2.0266	375.9376
2.0318	376.3125
2.0356	375.9467
2.0398	375.894
2.0451	376.3853
2.0495	376.2496
2.0549	376.6351
2.0591	376.3273
2.0627	375.9813
2.067	376.0215
2.0719	376.456
2.077	376.5012
2.081	376.293
2.0853	376.3563
